Symbol,Current Price,24h Change %,7d Change %,Trend,Volatility,RSI_14,Support,Resistance,Signals
XAUT-USDT,4379.1,1.026622987126835,-1.9216555801921498,下跌,1.1243968193015652,52.82963860802036,4191.425,4426.075,[]
NIGHT-USDT,0.095826,-1.3618256492604175,28.42209654506953,上漲,0.0,83.32707550740054,0.049134,0.0927145,[]
USDC-USDT,1.001,0.029979014689707206,0.06997900629810427,上漲,0.01379448447424509,72.31128351579787,0.9996,1.000575,[]
ETH-USDT,2972.99,1.2709150861129226,1.6198386655728703,上漲,3.3636166221386614,47.23309229530086,2892.7999999999997,3169.835,[]
DOGE-USDT,0.12439,0.2256063169768785,-3.115507438274012,下跌,3.502157645095686,36.614728123453425,0.12586999999999998,0.146375,[]
XRP-USDT,1.8649,-0.03752144082331821,0.0751274483498765,下跌,2.744699761692402,39.4608553204831,1.850225,2.11855,[]
BTC-USDT,87678.9,-0.00889530567349528,0.7304427346911835,上漲,2.346869176362452,44.66684761893108,86590.825,92179.75,[]
SUI-USDT,1.4359,-0.8698653779772192,1.4770318021201323,上漲,5.548054215806485,43.23340231022899,1.3945,1.656225,[]
SOL-USDT,124.46,0.8181449979748789,1.393075356415463,上漲,3.3332304355006483,42.57716302389044,122.375,139.6275,[]
ADA-USDT,0.3549,-2.926695842450766,-0.22490863086871427,下跌,4.819371084823332,38.44169248978393,0.356225,0.4307,[]
