Symbol,Current Price,24h Change %,7d Change %,Trend,Volatility,RSI_14,Support,Resistance,Signals
BTC-USDT,87037.5,-0.7403631337477568,-0.006433594391752617,下跌,2.349546065793576,42.69941156678465,86590.825,92179.75,[]
ADA-USDT,0.3508,-4.04814004376367,-1.377565364070854,下跌,4.8433643353536,37.49374333359387,0.356225,0.4307,[]
