Symbol,Current Price,24h Change %,7d Change %,Trend,Volatility,RSI_14,Support,Resistance,Signals
NIGHT-USDT,0.09577,-1.4194690629857232,28.34704762925835,上漲,0.0,83.2981419373512,0.049134,0.0927145,[]
USDC-USDT,1.001,0.029979014689707206,0.06997900629810427,上漲,0.01379448447424509,72.31128351579787,0.9996,1.000575,[]
XAUT-USDT,4378.8,1.0197019332810475,-1.928374655647369,下跌,1.124207631145584,52.80154950730427,4191.425,4426.075,[]
XRP-USDT,1.8649,-0.03752144082331821,0.0751274483498765,下跌,2.744699761692402,39.4608553204831,1.850225,2.11855,[]
BTC-USDT,87670.1,-0.018931035151270592,0.7203328006470278,上漲,2.3468545074428993,44.638628510097966,86590.825,92179.75,[]
DOGE-USDT,0.12439,0.2256063169768785,-3.115507438274012,下跌,3.502157645095686,36.614728123453425,0.12586999999999998,0.146375,[]
ETH-USDT,2972.3,1.247411161979528,1.5962537599125026,上漲,3.363311378943838,47.18211061021156,2892.7999999999997,3169.835,[]
SOL-USDT,124.46,0.8181449979748789,1.393075356415463,上漲,3.3332304355006483,42.57716302389044,122.375,139.6275,[]
ADA-USDT,0.3549,-2.926695842450766,-0.22490863086871427,下跌,4.819371084823332,38.44169248978393,0.356225,0.4307,[]
SUI-USDT,1.436,-0.8629616845012067,1.4840989399293125,上漲,5.54802126749903,43.24130758207606,1.3945,1.656225,[]
