Symbol,Current Price,24h Change %,7d Change %,Trend,Volatility,RSI_14,Support,Resistance,Signals
NIGHT-USDT,0.096,-1.182719328042492,28.65528424776864,上漲,0.0,83.41710463513898,0.049134,0.0927145,[]
USDC-USDT,1.001,0.029979014689707206,0.06997900629810427,上漲,0.01379448447424509,72.31128351579787,0.9996,1.000575,[]
XAUT-USDT,4377.9,0.9989387717436182,-1.9485318820130382,下跌,1.1236484015616093,52.717081127297874,4191.425,4426.075,[]
ETH-USDT,2975.52,1.3570961412687987,1.7063166529942553,上漲,3.36478243268149,47.419186084138076,2892.7999999999997,3169.835,[]
XRP-USDT,1.8657,0.005360205831905773,0.11805741883552656,下跌,2.7449638524388353,39.53460829815256,1.850225,2.11855,[]
DOGE-USDT,0.12445,0.2739505277576493,-3.0687748266998938,下跌,3.502537313782552,36.717213543790244,0.12586999999999998,0.146375,[]
BTC-USDT,87746.1,0.06774117397507773,0.8076458673921261,上漲,2.3470283588393133,44.92702534048364,86590.825,92179.75,[]
SUI-USDT,1.4369,-0.8008284432171053,1.5477031802120234,上漲,5.5477376105411915,43.31258533697683,1.3945,1.656225,[]
SOL-USDT,124.48,0.8343458890238908,1.4093686354378798,上漲,3.3334188905226694,42.611442421519364,122.375,139.6275,[]
ADA-USDT,0.3557,-2.707877461706776,0.0,下跌,4.815690635698096,38.63227482957335,0.356225,0.4307,[]
