Symbol,Current Price,24h Change %,7d Change %,Trend,Volatility,RSI_14,Support,Resistance,Signals
NIGHT-USDT,0.096554,-0.6124612708313992,29.397732450615123,上漲,0.0,83.70504932618994,0.049134,0.0927145,[]
USDC-USDT,1.001,0.029979014689707206,0.06997900629810427,上漲,0.01379448447424509,72.31128351579787,0.9996,1.000575,[]
XAUT-USDT,4379.5,1.0358510589212333,-1.912696812918535,下跌,1.1246512291392925,52.86703877634611,4191.425,4426.075,[]
DOGE-USDT,0.12456,0.36258158085569203,-2.9830983721473636,下跌,3.5032910231123635,36.90424527918266,0.12586999999999998,0.146375,[]
XRP-USDT,1.868,0.12864493996569415,0.24148108398176493,下跌,2.7458473186576637,39.83765185483266,1.850225,2.11855,[]
ETH-USDT,2977.85,1.436464464791798,1.7859584358764113,上漲,3.3659207885746207,47.589411604088994,2892.7999999999997,3169.835,[]
BTC-USDT,87807.2,0.13742106841745372,0.8778409776306173,上漲,2.3472454754756185,45.16681342990713,86590.825,92179.75,[]
SUI-USDT,1.4388,-0.6696582671729234,1.6819787985865808,上漲,5.547214913377172,43.46383496952464,1.3945,1.656225,[]
SOL-USDT,124.75,1.053057918185507,1.6293279022403295,上漲,3.3362186704321553,43.07024056707184,122.375,139.6275,[]
ADA-USDT,0.3552,-2.844638949671763,-0.14056789429294225,下跌,4.817952425170788,38.51294010207057,0.356225,0.4307,[]
