Symbol,Current Price,24h Change %,7d Change %,Trend,Volatility,RSI_14,Support,Resistance,Signals
XAUT-USDT,4377.5,0.9897106999492422,-1.9574906492866528,下跌,1.1234038717214132,52.67944250153637,4191.425,4426.075,[]
NIGHT-USDT,0.095432,-1.7673882386849082,27.894073815969335,上漲,0.0,83.12393291633495,0.049134,0.0927145,[]
USDC-USDT,1.0009,0.019986009793138138,0.05998200539838461,上漲,0.013255641494645606,70.69870354700669,0.9996,1.000575,[]
XRP-USDT,1.8651,-0.026801029159517764,0.08585994097130012,下跌,2.74476369318965,39.47812437845103,1.850225,2.11855,[]
ETH-USDT,2974.61,1.3260982123392218,1.6752119223407247,上漲,3.364354682101249,47.35240250926976,2892.7999999999997,3169.835,[]
DOGE-USDT,0.12433,0.17726210619610772,-3.1622400498481307,下跌,3.5018001825650993,36.511910217794146,0.12586999999999998,0.146375,[]
BTC-USDT,87739.8,0.0605565040080247,0.8004080737014085,上漲,2.3470098925104645,44.90218154959685,86590.825,92179.75,[]
SOL-USDT,124.4,0.7695423248278654,1.344195519348279,上漲,3.3326807577473603,42.47407868021136,122.375,139.6275,[]
ADA-USDT,0.3545,-3.0361050328227557,-0.33736294630307695,下跌,4.821334396986528,38.347104726377,0.356225,0.4307,[]
SUI-USDT,1.4361,-0.8560579910251942,1.491166077738515,上漲,5.547988605351843,43.24921574542594,1.3945,1.656225,[]
